id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
35506831,Master Bedroom with private Bathroom & Balcony,55110690425,unconfirmed,UZeyir,Queens,Maspeth,40.74056,-73.90635,United States,US,True,strict,Private room,2016.0,$706 ,$141 ,1.0,1.0,11/14/2021,0.27,3.0,1.0,339.0,,
35507383,Cozy 2 br in sunny Fort Greene apt,80193772189,verified,Sally,Brooklyn,Fort Greene,40.68701,-73.97555,United States,US,False,flexible,Private room,2020.0,$651 ,$130 ,3.0,38.0,11/13/2021,0.27,3.0,1.0,0.0,,
35507935,Duplex w/ Terrace @ Box House Hotel,72991962259,verified,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,United States,US,False,strict,Hotel room,2016.0,$907 ,$181 ,3.0,10.0,11/13/2021,0.08,3.0,30.0,32.0,,
35508488,"Cozy, clean Greenpoint room with yard access",74975156081,verified,Dawn,Brooklyn,Greenpoint,40.72516,-73.95004,United States,US,False,strict,Private room,2013.0,$589 ,$118 ,30.0,38.0,11/13/2021,0.34,5.0,2.0,324.0,,
35509040,2BR XL Loft: Cleaning CDC guidelines implemented,85844415221,unconfirmed,Vida,Brooklyn,Greenpoint,40.72732,-73.94185,United States,US,False,flexible,Entire home/apt,2015.0,$356 ,$71 ,30.0,13.0,11/13/2021,0.14,4.0,28.0,336.0,,
35509592,Stunning Loft in Heart of Williamsburg,8588076469,unconfirmed,Stephan,Brooklyn,Williamsburg,40.71625,-73.95667,United States,US,True,flexible,Entire home/apt,2021.0,$442 ,$88 ,30.0,136.0,11/13/2021,1.49,4.0,1.0,180.0,,
35510145,Rare Find: Stylish West Village Townhouse,30748072972,verified,,Manhattan,West Village,40.73169,-74.0087,United States,US,False,moderate,Entire home/apt,2009.0,"$1,143 ",$229 ,5.0,24.0,11/13/2021,0.32,4.0,2.0,0.0,,
35510697,Lovely room with a view.,94415823707,verified,Josephine,Queens,Arverne,40.58947,-73.79298,United States,US,False,strict,Private room,2013.0,$476 ,$95 ,2.0,137.0,11/13/2021,2.33,4.0,2.0,151.0,,
35511249,Cozy mezzanine bdrm in charming Bklyn neighborhood,74327677443,verified,Marc,Brooklyn,Sunset Park,40.66188,-73.9914,United States,US,False,strict,Private room,2010.0,$673 ,$135 ,30.0,82.0,11/13/2021,1.72,4.0,2.0,365.0,,
35511802,Williamsburg  Duplex Loft of Lorimer L,5799022713,verified,D,Brooklyn,Williamsburg,40.71535,-73.95454,United States,US,False,moderate,Entire home/apt,2015.0,$516 ,$103 ,5.0,5.0,11/13/2021,0.13,5.0,2.0,0.0,,
35512354,1976 Chris Craft “Hudson”,25502200687,unconfirmed,Gina,Queens,Arverne,40.59564,-73.78905,United States,US,True,moderate,Entire home/apt,2018.0,$459 ,$92 ,2.0,37.0,11/13/2021,1.12,2.0,1.0,161.0,,
35512906,Destination Bushwick,81292899272,verified,Jose,Brooklyn,Bushwick,40.69159,-73.91261,United States,US,False,strict,Private room,2020.0,$683 ,$137 ,3.0,39.0,11/13/2021,1.26,3.0,5.0,44.0,,
35513458,Brooklyn getaway,47173380277,unconfirmed,Rachel,Brooklyn,Flatbush,40.64344,-73.96109,United States,US,False,flexible,Entire home/apt,2022.0,$592 ,$118 ,4.0,27.0,11/13/2021,1.02,4.0,1.0,21.0,,
35514011,138 Bowery-Classic Queen Studio,9285301649,unconfirmed,Jeniffer,Manhattan,Little Italy,40.71991,-73.99591,United States,US,True,strict,Entire home/apt,2021.0,$398 ,$80 ,15.0,24.0,11/13/2021,1.1,3.0,51.0,43.0,,
35514563,Cozy private B/room med student Brooklyn Hospital1,45596787076,unconfirmed,Rosemarie,Brooklyn,East Flatbush,40.6541,-73.93205,United States,US,False,moderate,Private room,2009.0,$364 ,$73 ,31.0,2.0,11/13/2021,0.21,5.0,5.0,88.0,,
35515115,Beautiful furnished 1 bed in Hudson Yards,34385074783,unconfirmed,Terence,Manhattan,Chelsea,40.75262,-73.99783,United States,US,False,strict,Entire home/apt,2010.0,$775 ,$155 ,30.0,2.0,11/13/2021,0.3,3.0,1.0,142.0,,
35515668,Out of this🌎 Hospitality in NY 2 minutes from LGA✈️,34773844248,verified,Juan,Queens,East Elmhurst,40.75922,-73.8826,United States,US,False,strict,Private room,2013.0,$610 ,$122 ,1.0,9.0,11/13/2021,0.88,3.0,1.0,0.0,,
35516220,Charming Furnished Suite Sutton Pl/Midtown East #1,60866174324,unconfirmed,Benjamin,Manhattan,Midtown,40.75905,-73.96246,United States,US,True,strict,Entire home/apt,2016.0,$341 ,$68 ,30.0,2.0,11/13/2021,0.21,4.0,3.0,227.0,,
35516772,Easy Parking !!Med students home!!Near transit,55864091405,verified,Amadu,Brooklyn,Canarsie,40.64841,-73.89884,United States,US,False,flexible,Private room,2009.0,$988 ,$198 ,3.0,7.0,11/13/2021,0.63,4.0,1.0,364.0,,
35517325,Heart of Manhattan!!! Luxury rentals one bedroom,24658631253,unconfirmed,Abdou,Manhattan,Kips Bay,40.74264,-73.97337,United States,US,True,strict,Entire home/apt,2018.0,"$1,019 ",$204 ,7.0,6.0,11/13/2021,0.64,4.0,1.0,0.0,,
35517877,Beautiful Basement room near Prospect park,86136944975,verified,Neusa,Brooklyn,Prospect-Lefferts Gardens,40.66199,-73.94109,United States,US,True,moderate,Private room,2009.0,$111 ,$22 ,1.0,5.0,11/13/2021,0.83,3.0,4.0,0.0,,
35518429,"Spacious Plant-filled 2 Bed, 2 Bath with Balcony",51799066800,verified,Ashley,Brooklyn,Williamsburg,40.7153,-73.94085,United States,US,False,strict,Entire home/apt,2011.0,$405 ,$81 ,3.0,3.0,11/13/2021,0.46,3.0,4.0,0.0,,
35518981,Nice Private ROOM in Ridgewood,77333598633,unconfirmed,Sergii & Nika,Queens,Ridgewood,40.70349,-73.90401,United States,US,True,moderate,Private room,2004.0,$443 ,$89 ,30.0,1.0,11/13/2021,0.27,4.0,14.0,364.0,,
35519534,Upper East Side / Lenox Hill 1 Bedroom Apartment,42334252783,unconfirmed,Stephanie,Manhattan,Upper East Side,40.76279,-73.96398,United States,US,True,strict,Entire home/apt,2011.0,$887 ,$177 ,7.0,1.0,11/13/2021,0.22,3.0,1.0,0.0,,
35520086,"Charming Artist's Flat, East Village",5854455137,unconfirmed,Sarah,Manhattan,East Village,40.72408,-73.98154,United States,US,False,moderate,Entire home/apt,2014.0,$594 ,$119 ,30.0,275.0,11/12/2021,2.08,2.0,1.0,332.0,,
35520638,Park Slope: Barclays Center - Private & Cozy Room,70536098208,verified,Michael,Brooklyn,Prospect Heights,40.68246,-73.97602,United States,US,False,flexible,Private room,2017.0,"$1,006 ",$201 ,2.0,14.0,11/12/2021,0.23,3.0,1.0,118.0,,
35521191,Lovely bright room in Washington Heights,846909103,verified,Patricia,Manhattan,Washington Heights,40.85756,-73.93175,United States,US,True,flexible,Private room,2019.0,$93 ,$19 ,30.0,16.0,11/12/2021,0.31,2.0,1.0,0.0,,
35521743,High End Hilton Studio near Central Park,49604980160,unconfirmed,Armstrong,Manhattan,Midtown,40.76527,-73.97744,United States,US,True,moderate,Entire home/apt,2008.0,"$1,115 ",$223 ,1.0,14.0,11/12/2021,0.3,2.0,3.0,82.0,,
